Trajectories
200
,,BME:T,,,BME:R,,,BME:B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,216.914,220.004,251.817,206.484,284.834,205.774,216.6,219.611,145.927
2,0,216.924,220.007,251.824,206.414,284.839,205.763,216.7,219.489,146.117
3,0,216.708,219.949,251.592,206.46,284.838,205.791,216.785,219.685,145.985
4,0,216.728,219.968,251.606,206.481,284.855,205.799,217.138,219.805,146.056
5,0,216.792,219.967,251.639,206.465,284.856,205.788,217.11,219.778,146.043
6,0,216.885,220.003,251.461,206.443,284.847,205.754,216.865,219.699,145.973
7,0,216.752,219.961,251.612,206.448,284.847,205.751,216.654,219.491,146.108
8,0,216.781,219.993,251.655,206.426,284.855,205.727,217.046,219.85,145.853
9,0,216.763,219.977,251.663,206.42,284.867,205.743,216.813,219.674,146.032
10,0,216.757,220.012,251.713,206.426,284.88,205.788,217.076,219.754,146.088
11,0,216.798,219.983,251.724,206.393,284.863,205.762,217.037,219.844,145.927
12,0,216.781,219.996,251.715,206.4,284.86,205.709,216.876,219.689,145.997
13,0,216.801,220.02,251.682,206.379,284.864,205.702,217.041,219.723,146.052
14,0,216.939,220.055,251.863,206.389,284.863,205.692,216.917,219.708,146.023
15,0,216.801,220.01,251.745,206.375,284.863,205.722,217.045,219.739,146.046
16,0,216.8,220.01,251.762,206.357,284.863,205.748,217.055,219.753,146.054
17,0,216.816,220.018,251.753,206.357,284.879,205.749,217.062,219.737,146.07
18,0,216.947,220.058,251.873,206.38,284.877,205.742,217.08,219.75,146.068
19,0,216.809,220.014,251.718,206.383,284.876,205.706,216.661,219.586,145.99
20,0,216.818,220.007,251.718,206.351,284.874,205.708,216.893,219.663,146.053
21,0,216.782,219.998,251.74,206.36,284.855,205.705,216.823,219.596,146.096
22,0,216.789,220.007,251.724,206.359,284.871,205.723,217.049,219.818,145.934
23,0,216.813,220.006,251.701,206.413,284.886,205.708,216.839,219.764,145.876
24,0,216.797,220.006,251.717,206.366,284.869,205.688,216.837,219.586,146.176
25,0,216.823,219.995,251.761,206.356,284.865,205.722,216.868,219.674,145.994
26,0,216.921,220.03,251.847,206.38,284.874,205.725,217.19,219.772,146.104
27,0,216.799,220.018,251.712,206.36,284.879,205.703,216.93,219.661,146.06
28,0,216.836,219.997,251.754,206.401,284.863,205.698,216.906,219.671,146.052
29,0,216.837,220.013,251.739,206.387,284.861,205.695,217.059,219.737,146.077
30,0,216.815,219.99,251.734,206.348,284.854,205.72,217.061,219.726,146.061
31,0,216.806,220.007,251.749,206.345,284.868,205.718,217.089,219.759,146.103
32,0,216.825,220.021,251.726,206.37,284.878,205.729,216.863,219.573,146.164
33,0,216.802,220.006,251.733,206.388,284.881,205.723,217.23,219.728,146.215
34,0,216.815,219.992,251.727,206.377,284.874,205.714,217.215,219.728,146.213
35,0,216.794,219.982,251.697,206.346,284.857,205.714,216.909,219.631,146.086
36,0,216.824,220.004,251.73,206.373,284.877,205.697,217.085,219.732,146.119
37,0,216.8,220.018,251.702,206.419,284.85,205.747,216.916,219.661,146.054
38,0,216.808,219.998,251.724,206.368,284.878,205.714,216.681,219.599,145.987
39,0,216.799,219.999,251.745,206.37,284.867,205.714,216.981,219.662,146.131
40,0,216.822,219.999,251.751,206.354,284.871,205.74,216.848,219.598,146.114
41,0,216.903,220.018,251.849,206.377,284.882,205.743,216.87,219.711,145.979
42,0,216.845,220.014,251.762,206.404,284.878,205.705,217.033,219.801,145.984
43,0,216.927,220.047,251.853,206.38,284.862,205.71,217.066,219.727,146.108
44,0,216.795,219.984,251.719,206.351,284.868,205.727,217,219.577,146.333
45,0,216.883,220.02,251.847,206.342,284.871,205.733,217.08,219.734,146.074
46,0,216.787,220.008,251.733,206.373,284.89,205.736,217.052,219.822,145.933
47,0,216.805,220.012,251.712,206.387,284.877,205.741,216.906,219.697,145.979
48,0,216.832,220.007,251.707,206.432,284.846,205.693,217.018,219.736,145.997
49,0,216.822,219.994,251.721,206.379,284.857,205.686,216.834,219.598,146.076
50,0,216.774,219.998,251.726,206.372,284.87,205.732,217.084,219.751,146.065
51,0,216.791,220.018,251.743,206.373,284.887,205.755,217.062,219.739,146.053
52,0,216.803,219.987,251.745,206.404,284.885,205.743,217.086,219.737,146.058
53,0,216.789,220,251.706,206.378,284.864,205.71,216.703,219.489,146.12
54,0,216.939,220.04,251.87,206.363,284.866,205.703,217.051,219.709,146.09
55,0,216.921,220.042,251.83,206.397,284.868,205.701,216.82,219.654,146.063
56,0,216.925,220.044,251.858,206.392,284.885,205.726,216.675,219.538,146.047
57,0,216.843,220.009,251.752,206.396,284.879,205.755,216.823,219.652,146.015
58,0,216.8,219.988,251.741,206.391,284.868,205.731,217.082,219.738,146.06
59,0,216.765,220,251.705,206.354,284.874,205.697,217.018,219.717,146.039
60,0,216.806,220.015,251.714,206.373,284.864,205.682,216.997,219.667,146.123
61,0,216.811,220.017,251.722,206.375,284.878,205.709,217.084,219.758,146.078
62,0,216.805,220.012,251.739,206.375,284.881,205.746,217.063,219.761,146.04
63,0,216.802,219.999,251.745,206.378,284.869,205.735,216.846,219.575,146.15
64,0,216.851,219.997,251.755,206.387,284.882,205.703,216.883,219.668,146.035
65,0,216.827,220.019,251.728,206.368,284.866,205.676,216.67,219.634,145.915
66,0,216.81,220.016,251.747,206.377,284.874,205.719,216.889,219.674,146.031
67,0,216.81,220.011,251.773,206.38,284.871,205.743,217.075,219.727,146.042
68,0,216.796,220.002,251.737,206.378,284.869,205.739,216.841,219.575,146.175
