Trajectories
200
,,BME:T,,,BME:R,,,BME:B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,244.113,209.929,230.038,172.755,229.766,261.438,165.642,256.206,177.613
2,0,244.072,209.9,230.053,172.759,229.477,261.68,165.591,256.048,177.633
3,0,244.063,209.879,230.041,172.724,229.776,261.44,165.546,256.068,177.643
4,0,243.678,209.334,229.672,172.741,229.719,261.42,165.714,253.996,177.844
5,0,244.074,209.895,230.053,172.734,229.532,261.65,165.75,253.989,177.843
6,0,244.099,209.924,230.065,172.753,229.781,261.444,165.741,253.993,177.811
7,0,243.726,209.425,229.685,172.732,229.727,261.439,165.532,255.495,177.759
8,0,244.081,209.964,230.043,172.741,229.78,261.45,165.741,254.017,177.862
9,0,244.089,209.932,230.053,172.778,229.786,261.428,165.722,254.068,177.851
10,0,244.101,209.942,230.031,172.787,229.793,261.433,165.729,253.998,177.812
11,0,243.764,209.507,229.757,172.759,229.767,261.43,165.626,255.3,177.753
12,0,244.074,209.95,230.029,172.737,229.814,261.394,165.576,255.163,177.791
13,0,244.1,210.007,230.053,172.73,229.821,261.405,165.701,254.002,177.842
14,0,244.092,209.993,230.038,172.74,229.806,261.388,165.712,254.073,177.765
15,0,244.083,210.008,230.035,172.767,229.786,261.454,165.692,254.043,177.801
16,0,244.155,209.998,230.084,172.759,229.785,261.456,165.737,254.02,177.787
17,0,244.075,209.962,229.998,172.71,229.795,261.438,165.637,254.804,177.82
18,0,244.105,209.979,230.022,172.712,229.808,261.398,165.712,254.004,177.768
19,0,244.071,209.91,230.018,172.701,229.797,261.401,165.767,254.019,177.794
20,0,244.095,209.937,230.017,172.688,229.776,261.441,165.756,253.96,177.846
21,0,244.089,209.96,230.038,172.761,229.781,261.407,165.721,253.997,177.769
22,0,244.131,209.96,230.092,172.729,229.787,261.422,165.771,253.994,177.79
23,0,244.081,209.93,230.034,172.73,229.756,261.407,165.755,253.999,177.759
24,0,244.112,209.939,230.069,172.73,229.77,261.423,165.743,254.034,177.814
25,0,244.043,209.925,230.003,172.723,229.759,261.436,165.734,254.022,177.767
26,0,244.085,209.956,230.056,172.758,229.59,261.567,165.632,255.048,177.744
27,0,244.084,209.944,230.062,172.727,229.752,261.442,165.738,253.989,177.819
28,0,244.061,209.897,230.036,172.694,229.757,261.426,165.612,254.984,177.813
29,0,244.06,209.92,230.022,172.677,229.619,261.563,165.694,254.031,177.766
30,0,244.069,209.957,230.001,172.733,229.796,261.422,165.756,253.999,177.791
31,0,243.806,209.567,229.764,172.737,229.737,261.452,165.692,253.967,177.828
32,0,244.122,209.964,230.044,172.738,229.777,261.425,165.639,255.034,177.761
33,0,244.139,209.976,230.102,172.678,229.787,261.43,165.725,254.015,177.813
34,0,244.064,209.947,230.031,172.735,229.786,261.437,165.674,254.96,177.811
35,0,244.121,209.955,230.054,172.767,229.775,261.416,165.719,254.036,177.801
36,0,244.111,209.953,230.029,172.708,229.8,261.423,165.745,254.057,177.795
37,0,244.038,209.912,230.028,172.723,229.801,261.426,165.618,254.863,177.829
38,0,244.111,209.959,230.058,172.695,229.799,261.468,165.617,254.823,177.861
39,0,244.146,210.039,230.088,172.747,229.793,261.453,165.742,254.062,177.729
40,0,243.797,209.579,229.793,172.723,229.618,261.546,165.688,253.986,177.793
41,0,244.077,209.937,230.001,172.757,229.778,261.418,165.637,254.87,177.82
42,0,244.067,209.904,229.993,172.762,229.626,261.557,165.726,254.048,177.816
43,0,244.165,210,230.105,172.761,229.796,261.441,165.701,254.028,177.812
44,0,244.07,209.959,230.032,172.718,229.658,261.533,165.742,253.99,177.816
45,0,244.078,209.95,230.048,172.796,229.813,261.391,165.661,255.001,177.788
46,0,244.097,209.965,230.045,172.734,229.791,261.444,165.634,254.835,177.807
47,0,244.059,209.923,230.023,172.751,229.794,261.422,165.731,253.996,177.835
48,0,244.118,209.973,230.046,172.746,229.795,261.425,165.753,253.983,177.842
49,0,244.049,209.931,230.042,172.716,229.626,261.548,165.711,254.038,177.842
50,0,244.082,209.93,230.011,172.716,229.774,261.429,165.714,253.994,177.827
51,0,244.059,209.903,230.008,172.718,229.774,261.409,165.75,253.984,177.815
52,0,244.047,209.915,229.983,172.719,229.773,261.398,165.674,254.009,177.806
53,0,244.143,209.948,230.063,172.702,229.782,261.44,165.73,254.015,177.742
54,0,244.078,209.922,230.037,172.72,229.777,261.38,165.726,253.991,177.834
55,0,244.103,209.929,230.055,172.719,229.777,261.432,165.729,253.98,177.778
56,0,244.074,209.916,230.033,172.742,229.78,261.422,165.749,254.036,177.795
57,0,244.135,209.965,230.098,172.757,229.617,261.553,165.655,254.913,177.796
58,0,244.098,209.927,230.066,172.704,229.78,261.413,165.585,254.916,177.799
59,0,244.088,209.932,230.082,172.769,229.761,261.425,165.745,254.011,177.784
60,0,244.074,209.928,230.024,172.749,229.764,261.435,165.792,253.986,177.802
61,0,244.074,209.905,230.014,172.7,229.782,261.45,165.754,254.062,177.782
62,0,244.105,209.943,230.015,172.76,229.784,261.396,165.697,254.939,177.788
63,0,244.11,209.963,230.056,172.723,229.79,261.441,165.676,255.118,177.779
64,0,244.13,209.96,230.075,172.708,229.797,261.438,165.776,254.02,177.85
65,0,244.097,209.951,230.018,172.682,229.803,261.43,165.797,254.054,177.786
66,0,244.06,209.937,230.007,172.751,229.811,261.452,165.762,254.02,177.811
67,0,244.058,209.941,230,172.683,229.799,261.421,165.709,254.037,177.774
68,0,243.746,209.529,229.786,172.757,229.74,261.43,165.72,253.981,177.835
69,0,244.111,209.95,230.048,172.755,229.645,261.564,165.769,254.019,177.821
70,0,244.118,210.007,230.077,172.74,229.793,261.442,165.72,253.979,177.802
71,0,244.126,209.965,230.065,172.756,229.801,261.454,165.641,255.025,177.773
72,0,244.147,210.008,230.047,172.704,229.814,261.409,165.745,253.983,177.832
73,0,244.094,209.955,230.011,172.755,229.802,261.408,165.782,253.951,177.824
74,0,244.1,209.952,230.025,172.764,229.782,261.438,165.766,254,177.838
75,0,244.092,209.973,230.044,172.712,229.789,261.44,165.78,254.01,177.782
76,0,244.095,209.991,230.034,172.702,229.615,261.563,165.735,254.033,177.822
77,0,244.054,209.928,230.027,172.708,229.786,261.403,165.619,255.006,177.812
78,0,244.071,209.951,230.033,172.736,229.625,261.54,165.695,253.992,177.824
79,0,244.037,209.894,230.015,172.733,229.795,261.421,165.667,255.064,177.775
80,0,244.105,209.931,230.074,172.787,229.759,261.449,165.638,255.032,177.768
81,0,244.081,209.923,230.069,172.733,229.766,261.433,165.709,254.072,177.815
82,0,244.131,209.949,230.073,172.699,229.779,261.427,165.809,254.036,177.765
83,0,244.119,209.943,230.12,172.751,229.768,261.406,165.743,253.996,177.789
84,0,244.119,209.931,230.042,172.754,229.769,261.44,165.642,255.04,177.751
85,0,244.092,209.911,230.02,172.75,229.775,261.416,165.694,255.031,177.767
86,0,244.05,209.908,229.999,172.741,229.788,261.411,165.793,253.991,177.816
87,0,244.072,209.927,230.03,172.688,229.625,261.542,165.671,253.961,177.836
88,0,244.154,209.992,230.078,172.708,229.774,261.42,165.753,254.004,177.822
89,0,244.157,209.956,230.081,172.755,229.795,261.403,165.712,254.034,177.852
90,0,244.105,209.959,230.044,172.756,229.76,261.438,165.781,254.05,177.774
91,0,244.149,209.967,230.06,172.729,229.792,261.463,165.7,254.124,177.793
92,0,244.109,209.97,230.026,172.728,229.788,261.423,165.736,254.037,177.821
93,0,244.105,209.944,230.039,172.722,229.802,261.409,165.728,254.014,177.847
94,0,244.052,209.932,230.057,172.741,229.789,261.438,165.72,254.045,177.747
95,0,244.035,209.94,229.981,172.749,229.796,261.427,165.706,255.182,177.755
96,0,244.082,209.966,230.022,172.737,229.805,261.427,165.713,254.018,177.768
97,0,244.036,209.943,230.014,172.707,229.646,261.546,165.608,254.911,177.832
98,0,244.122,210.001,230.097,172.699,229.797,261.419,165.794,254.018,177.739
99,0,244.102,209.967,230.05,172.738,229.812,261.421,165.713,254.029,177.734
100,0,243.778,209.565,229.801,172.743,229.749,261.45,165.626,255.079,177.777
101,0,244.078,209.95,230.001,172.753,229.799,261.442,165.6,254.872,177.86
102,0,244.077,209.946,230.029,172.722,229.645,261.56,165.721,254.114,177.751
103,0,244.05,209.954,230.042,172.735,229.798,261.421,165.677,254.006,177.81
104,0,244.06,209.947,230.01,172.708,229.627,261.565,165.713,254.03,177.817
105,0,244.144,210.002,230.096,172.726,229.796,261.424,165.767,254.01,177.834
106,0,244.046,209.934,230.016,172.749,229.781,261.444,165.688,255.053,177.749
107,0,244.163,210.012,230.08,172.752,229.784,261.431,165.736,255.164,177.725
108,0,244.105,209.979,230.024,172.661,229.782,261.422,165.716,253.928,177.784
109,0,244.132,209.994,230.079,172.724,229.8,261.402,165.764,254.014,177.808
110,0,244.058,209.933,230.038,172.68,229.78,261.409,165.659,254.015,177.789
111,0,244.049,209.898,230.038,172.687,229.781,261.433,165.754,253.976,177.841
112,0,244.083,209.915,229.998,172.716,229.804,261.394,165.723,253.992,177.816
113,0,244.09,209.939,230.008,172.711,229.598,261.606,165.657,254.948,177.772
114,0,244.065,209.96,229.998,172.706,229.622,261.551,165.804,254.065,177.78
115,0,244.06,209.928,229.993,172.712,229.788,261.399,165.768,254.011,177.808
116,0,244.084,209.93,230.017,172.744,229.786,261.395,165.67,255.1,177.748
117,0,244.076,209.959,230.024,172.728,229.602,261.54,165.617,254.897,177.794
118,0,244.15,209.971,230.105,172.707,229.791,261.435,165.74,253.99,177.836
119,0,244.123,209.971,230.088,172.713,229.787,261.431,165.587,255.07,177.812
120,0,244.165,209.993,230.088,172.779,229.778,261.437,165.575,254.94,177.805
