Trajectories
200
,,BME:T,,,BME:R,,,BME:B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,241,233.082,226.048,165.828,248.705,249.571,158.019,223.535,166.64
2,0,240.99,233.068,226.037,165.49,248.774,249.66,158.043,223.569,166.691
3,0,240.983,233.05,226.051,165.571,248.8,249.744,157.185,222.888,165.434
4,0,241,233.06,226.057,165.582,248.827,249.75,158.054,223.572,166.68
5,0,241.006,233.074,226.069,165.86,248.73,249.639,158.183,223.64,166.731
6,0,241.001,233.067,226.026,165.841,248.702,249.596,158.102,223.58,166.729
7,0,240.984,233.073,226.002,165.536,248.785,249.613,157.991,223.558,166.695
8,0,240.989,233.078,226,165.572,248.829,249.704,158.098,223.581,166.701
9,0,240.977,233.061,225.996,165.547,248.839,249.734,158.24,223.661,166.818
10,0,240.982,233.085,226.002,165.806,248.752,249.673,157.21,222.91,165.62
11,0,240.95,233.077,226,165.749,248.772,249.621,157.211,222.955,165.59
12,0,240.95,233.06,225.984,165.553,248.845,249.698,157.221,222.917,165.622
13,0,240.952,233.06,225.972,165.588,248.849,249.694,157.223,222.963,165.701
14,0,240.939,233.059,225.964,165.559,248.856,249.678,157.244,222.979,165.701
15,0,240.943,233.069,225.947,165.538,248.854,249.592,158.133,223.575,166.777
16,0,240.946,233.083,225.964,165.697,248.791,249.648,158.125,223.604,166.699
17,0,240.966,233.083,225.951,165.768,248.809,249.646,158.18,223.678,166.755
18,0,240.934,233.071,225.941,165.717,248.808,249.673,158.042,223.573,166.67
19,0,240.929,233.067,225.951,165.724,248.782,249.592,158.063,223.577,166.711
20,0,240.929,233.084,225.957,165.502,248.807,249.587,158.109,223.608,166.744
21,0,240.963,233.089,225.995,165.578,248.866,249.673,158.113,223.553,166.685
22,0,240.983,233.089,225.979,165.557,248.895,249.705,157.168,222.911,165.683
23,0,240.946,233.081,225.946,165.432,248.858,249.701,158.146,223.603,166.703
24,0,240.935,233.07,225.945,165.565,248.845,249.634,157.229,222.987,165.668
25,0,240.947,233.067,225.944,165.487,248.86,249.699,157.22,222.967,165.646
26,0,240.924,233.076,225.974,165.587,248.901,249.712,158.18,223.614,166.787
27,0,240.933,233.061,225.964,165.708,248.801,249.608,157.148,222.945,165.705
28,0,240.988,233.087,226.004,165.508,248.826,249.568,158.03,223.553,166.705
29,0,240.95,233.082,225.956,165.769,248.81,249.624,157.252,222.965,165.719
30,0,240.955,233.068,225.948,165.733,248.841,249.647,158.114,223.591,166.751
31,0,240.943,233.048,225.939,165.494,248.874,249.682,157.245,222.98,165.69
32,0,240.958,233.078,225.982,165.532,248.806,249.561,158.032,223.516,166.633
33,0,240.948,233.071,225.964,165.486,248.87,249.675,158.159,223.632,166.736
34,0,240.934,233.077,225.976,165.537,248.902,249.713,158.032,223.621,166.632
35,0,240.953,233.075,225.959,165.542,248.875,249.725,158.239,223.649,166.805
36,0,240.947,233.066,225.952,165.491,248.85,249.665,158.168,223.662,166.826
37,0,240.955,233.072,225.952,165.479,248.827,249.693,157.247,222.925,165.729
38,0,240.96,233.074,225.959,165.486,248.878,249.671,157.999,223.478,166.682
39,0,240.948,233.069,225.967,165.778,248.823,249.673,157.851,223.361,166.563
40,0,240.92,233.046,225.931,165.788,248.825,249.649,158.208,223.644,166.834
41,0,240.974,233.069,225.963,165.77,248.768,249.576,157.305,223.02,165.804
42,0,240.967,233.06,225.936,165.522,248.84,249.602,157.248,223.006,165.714
43,0,240.962,233.086,225.966,165.458,248.868,249.683,158.038,223.558,166.66
44,0,240.953,233.07,225.954,165.518,248.848,249.71,158.134,223.606,166.76
45,0,240.946,233.051,225.967,165.536,248.844,249.611,157.198,222.957,165.727
46,0,240.953,233.078,225.954,165.534,248.837,249.622,157.992,223.509,166.727
47,0,240.982,233.069,225.969,165.5,248.858,249.66,157.239,222.954,165.739
48,0,240.94,233.097,225.97,165.729,248.784,249.648,157.252,222.987,165.725
49,0,240.967,233.072,225.96,165.742,248.807,249.587,158.037,223.579,166.715
50,0,240.907,233.047,225.944,165.729,248.813,249.645,158.17,223.661,166.792
51,0,240.942,233.06,225.975,165.703,248.809,249.694,158.137,223.628,166.733
52,0,240.97,233.084,225.98,165.767,248.817,249.628,158.137,223.617,166.737
53,0,240.972,233.078,225.957,165.508,248.875,249.665,158.186,223.642,166.748
54,0,240.96,233.063,225.968,165.485,248.84,249.618,158.208,223.659,166.782
55,0,240.958,233.05,225.976,165.496,248.846,249.677,157.207,223.003,165.66
56,0,240.934,233.053,225.954,165.487,248.895,249.759,158.184,223.62,166.785
57,0,240.97,233.05,225.937,165.738,248.843,249.697,158.067,223.59,166.688
58,0,240.931,233.091,225.967,165.679,248.826,249.666,158.077,223.571,166.677
59,0,240.949,233.074,225.982,165.685,248.782,249.632,157.285,222.985,165.742
60,0,240.954,233.082,225.982,165.683,248.782,249.644,158.151,223.638,166.718
61,0,240.93,233.064,225.962,165.5,248.872,249.703,157.255,223.023,165.73
62,0,240.926,233.068,225.943,165.545,248.825,249.731,158.085,223.596,166.737
63,0,240.929,233.082,225.951,165.459,248.861,249.705,158.045,223.585,166.702
64,0,240.957,233.081,225.99,165.45,248.828,249.706,158.019,223.495,166.643
65,0,240.979,233.067,225.978,165.5,248.841,249.667,158.085,223.594,166.712
66,0,240.957,233.072,225.977,165.56,248.889,249.699,158.007,223.512,166.656
67,0,240.943,233.062,225.945,165.525,248.837,249.69,157.171,222.921,165.684
68,0,240.951,233.08,225.958,165.685,248.809,249.627,157.164,222.985,165.663
69,0,240.947,233.059,225.964,165.725,248.795,249.682,157.998,223.527,166.682
70,0,240.969,233.075,225.998,165.64,248.802,249.668,157.988,223.512,166.66
71,0,240.949,233.077,225.978,165.767,248.816,249.618,158.128,223.605,166.74
72,0,240.937,233.066,225.937,165.464,248.848,249.696,158.167,223.62,166.759
73,0,240.969,233.053,225.952,165.492,248.881,249.76,157.245,222.996,165.717
74,0,240.944,233.069,225.971,165.556,248.867,249.744,158,223.535,166.633
75,0,240.965,233.07,225.997,165.682,248.81,249.67,158.18,223.679,166.8
76,0,240.942,233.079,225.948,165.47,248.824,249.598,158.086,223.607,166.722
77,0,240.934,233.057,225.938,165.465,248.829,249.63,157.993,223.534,166.632
78,0,240.926,233.062,225.939,165.538,248.873,249.706,158.088,223.596,166.742
79,0,240.956,233.08,225.947,165.792,248.812,249.737,158.025,223.529,166.639
80,0,240.962,233.089,225.989,165.702,248.822,249.706,157.222,222.936,165.72
81,0,240.968,233.075,225.969,165.722,248.76,249.547,158.136,223.594,166.717
82,0,240.957,233.069,225.971,165.465,248.816,249.657,157.278,223.031,165.773
83,0,240.931,233.058,225.976,165.519,248.857,249.69,158.054,223.565,166.676
84,0,240.922,233.066,225.939,165.484,248.876,249.739,157.979,223.516,166.702
85,0,240.958,233.089,225.957,165.565,248.85,249.636,157.192,222.918,165.757
86,0,240.962,233.076,225.968,165.744,248.786,249.548,158.079,223.588,166.675
87,0,240.963,233.084,225.965,165.683,248.813,249.621,157.217,222.939,165.748
88,0,240.958,233.07,225.979,165.767,248.823,249.649,158.058,223.603,166.647
89,0,240.953,233.065,225.957,165.738,248.817,249.638,158.034,223.565,166.63
90,0,240.931,233.063,225.95,165.758,248.79,249.599,158.15,223.608,166.692
91,0,240.971,233.08,225.978,165.677,248.782,249.63,158.099,223.54,166.65
92,0,240.945,233.063,225.965,165.674,248.793,249.649,157.036,222.837,165.644
93,0,240.958,233.066,225.947,165.466,248.86,249.696,158.143,223.654,166.708
94,0,240.954,233.061,225.956,165.52,248.826,249.612,158.062,223.613,166.708
95,0,240.933,233.057,225.946,165.515,248.87,249.618,158.172,223.626,166.76
96,0,240.948,233.083,225.951,165.787,248.833,249.645,158.112,223.592,166.725
97,0,240.954,233.054,225.97,165.727,248.834,249.67,158.204,223.645,166.763
98,0,240.942,233.063,225.97,165.762,248.775,249.587,158.02,223.535,166.652
99,0,240.967,233.07,225.947,165.55,248.84,249.588,158.065,223.546,166.656
100,0,240.942,233.077,225.973,165.472,248.874,249.718,158.158,223.65,166.745
101,0,240.972,233.068,225.984,165.576,248.882,249.719,157.147,222.902,165.697
102,0,240.939,233.072,225.958,165.738,248.802,249.655,158.083,223.57,166.683
103,0,240.956,233.084,225.961,165.711,248.766,249.533,158.029,223.487,166.669
104,0,240.951,233.074,225.959,165.498,248.867,249.649,157.165,222.941,165.719
105,0,240.933,233.077,225.972,165.592,248.885,249.702,158.053,223.581,166.695
106,0,240.962,233.069,225.947,165.512,248.844,249.72,158.11,223.604,166.719
107,0,240.951,233.087,225.954,165.707,248.779,249.647,158.094,223.578,166.683
108,0,240.958,233.069,225.977,165.714,248.798,249.563,158.09,223.601,166.725
109,0,240.951,233.071,225.963,165.717,248.823,249.649,157.107,222.915,165.678
110,0,240.924,233.08,225.972,165.745,248.814,249.658,157.127,222.903,165.687
111,0,240.963,233.064,225.953,165.709,248.82,249.642,158.103,223.586,166.718
112,0,240.969,233.076,225.948,165.412,248.831,249.696,157.222,223.02,165.801
113,0,240.937,233.084,225.977,165.478,248.854,249.721,157.282,223.018,165.779
114,0,240.957,233.078,225.97,165.483,248.874,249.689,157.247,222.977,165.725
115,0,240.935,233.05,225.97,165.685,248.813,249.625,158.013,223.543,166.688
116,0,240.939,233.056,225.947,165.469,248.84,249.696,157.984,223.56,166.661
117,0,240.963,233.076,225.969,165.503,248.847,249.708,157.962,223.491,166.58
118,0,240.989,233.08,225.994,165.755,248.782,249.666,158.159,223.64,166.788
119,0,240.947,233.055,225.961,165.732,248.827,249.653,158.124,223.601,166.705
